ticker,name,market
1976.T,明星工業,Prime
1979.T,大氣社,Prime
197A.T,タウンズ,Standard
1980.T,ダイダン,Prime
1981.T,協和日成,Standard
1982.T,日比谷総合設備,Prime
198A.T,ＰｏｓｔＰｒｉｍｅ,Growth
1992.T,神田通信機,Standard
1994.T,高橋カーテンウォール工業,Standard
1997.T,暁飯島工業,Standard
2001.T,ニップン,Prime
2002.T,日清製粉グループ本社,Prime
2003.T,日東富士製粉,Standard
2004.T,昭和産業,Prime
2009.T,鳥越製粉,Standard
202A.T,豆蔵,Growth
2053.T,中部飼料,Prime
2055.T,日和産業,Standard
205A.T,ロゴスホールディングス,Growth
2060.T,フィード・ワン,Prime
206A.T,ＰＲＩＳＭ　ＢｉｏＬａｂ,Growth
208A.T,構造計画研究所ホールディングス,Standard
2108.T,日本甜菜製糖,Prime
2109.T,ＤＭ三井製糖,Prime
2112.T,塩水港精糖,Standard
2114.T,フジ日本,Standard
2117.T,ウェルネオシュガー,Prime
211A.T,カドス・コーポレーション,Standard
2120.T,ＬＩＦＵＬＬ,Prime
2121.T,ＭＩＸＩ,Prime
2122.T,インタースペース,Standard
2124.T,ジェイエイシーリクルートメント,Prime
2127.T,日本Ｍ＆Ａセンターホールディングス,Prime
212A.T,フィットイージー,Prime
2130.T,メンバーズ,Prime
2134.T,北浜キャピタルパートナーズ,Standard
2136.T,ヒップ,Standard
2138.T,クルーズ,Standard
2139.T,中広,Standard
2146.T,ＵＴグループ,Prime
2148.T,アイティメディア,Prime
2152.T,幼児活動研究会,Standard
2153.T,Ｅ・Ｊホールディングス,Prime
2154.T,オープンアップグループ,Prime
2156.T,セーラー広告,Standard
2157.T,コシダカホールディングス,Prime
2158.T,ＦＲＯＮＴＥＯ,Growth
215A.T,タイミー,Growth
2160.T,ジーエヌアイグループ,Growth
2162.T,ｎｍｓ　ホールディングス,Standard
2163.T,アルトナー,Prime
2164.T,地域新聞社,Growth
2168.T,パソナグループ,Prime
2169.T,ＣＤＳ,Standard
2170.T,リンクアンドモチベーション,Prime
2173.T,博展,Growth
2175.T,エス・エム・エス,Prime
2179.T,成学社,Standard
2180.T,サニーサイドアップグループ,Standard
2181.T,パーソルホールディングス,Prime
2183.T,リニカル,Standard
2185.T,シイエム・シイ,Standard
2186.T,ソーバル,Standard
218A.T,Ｌｉｂｅｒａｗａｒｅ,Growth
2193.T,クックパッド,Standard
2195.T,アミタホールディングス,Growth
2196.T,エスクリ,Standard
2198.T,アイ・ケイ・ケイホールディングス,Prime
219A.T,Ｈｅａｒｔｓｅｅｄ,Growth
2201.T,森永製菓,Prime
2204.T,中村屋,Standard
2206.T,江崎グリコ,Prime
2207.T,ｍｅｉｔｏ,Prime
2208.T,ブルボン,Standard
2209.T,井村屋グループ,Prime
220A.T,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,Standard
2211.T,不二家,Prime
2212.T,山崎製パン,Prime
2215.T,第一屋製パン,Standard
2216.T,カンロ,Standard
2217.T,モロゾフ,Prime
2220.T,亀田製菓,Prime
2221.T,岩塚製菓,Standard
2222.T,寿スピリッツ,Prime
2224.T,コモ,Standard
2226.T,湖池屋,Standard
2229.T,カルビー,Prime
2264.T,森永乳業,Prime
2266.T,六甲バター,Prime
2267.T,ヤクルト本社,Prime
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,Standard
2269.T,明治ホールディングス,Prime
2270.T,雪印メグミルク,Prime
2281.T,プリマハム,Prime
2282.T,日本ハム,Prime
2286.T,林兼産業,Standard
2288.T,丸大食品,Prime
228A.T,オプロ,Growth
2291.T,福留ハム,Standard
2292.T,Ｓ　Ｆｏｏｄｓ,Prime
2293.T,滝沢ハム,Standard
2294.T,柿安本店,Prime
2296.T,伊藤ハム米久ホールディングス,Prime
2300.T,きょくとう,Standard
2301.T,学情,Prime
2303.T,ドーン,Standard
2304.T,ＣＳＳホールディングス,Standard
2305.T,スタジオアリス,Standard
2307.T,クロスキャット,Prime
2311.T,エプコ,Standard
2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,Standard
2317.T,システナ,Prime
2321.T,ソフトフロントホールディングス,Growth
2323.T,ｆｏｎｆｕｎ,Standard
2325.T,ＮＪＳ,Prime
2326.T,デジタルアーツ,Prime
2327.T,日鉄ソリューションズ,Prime
2329.T,東北新社,Standard
2330.T,フォーサイド,Standard
2331.T,ＡＬＳＯＫ,Prime
2332.T,クエスト,Standard
2334.T,イオレ,Growth
2335.T,キューブシステム,Prime
2337.T,いちご,Prime
2338.T,クオンタムソリューションズ,Standard
2340.T,極楽湯ホールディングス,Standard
2341.T,アルバイトタイムス,Standard
2342.T,トランスジェニックグループ,Growth
2344.T,平安レイサービス,Standard
2345.T,クシム,Standard
2349.T,エヌアイデイ,Standard
2351.T,ＡＳＪ,Growth
2353.T,日本駐車場開発,Prime
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,Standard
2359.T,コア,Prime
2370.T,メディネット,Growth
